"","num","title","content"
"1",3,"ESFP 갤러리입니다.","         MBTI 성격 유형 중 하나인 ESFP에 대한 글을 써주세요.        "
"2",4,"니들이 귀찮아해서 내가 만듦","         됐냐?        "
"3",5,"어떻게 사람유형이","esfp가 나올수있지...? "
"4",6,"엣ㅡ하",""
"5",7,"여기 갤러들은 현생산다고 바쁠것 같으니 내가 자주 들러줌","글리젠을 활성화 시키자! "
"6",9,"미친 ","내가 그렇게 건의 했는데 ㅠㅠㅠㅠㅠ<U+00A0>생겼구나"
"7",10,"엣픞 사랑해<U+2764>+<U+2764>+<U+2764>+<U+2764>+<U+2764>+<U+2764>+<U+2764>+","레드벨벳 - Psycho  00:00 <U+26AB>─────────ㅤ03:31ㅤ<U+21C6>ㅤㅤ◁◁ㅤㅤ<U+275A><U+275A>ㅤㅤ▷▷ㅤㅤ<U+21BB>"
"8",11,"엣픞이 세계를 구해요^!^","레드벨벳 - Psycho  00:00 <U+26AB>─────────ㅤ03:31ㅤ<U+21C6>ㅤㅤ◁◁ㅤㅤ<U+275A><U+275A>ㅤㅤ▷▷ㅤㅤ<U+21BB>"
"9",12,"엣픞 친구덜 자주 왕","레드벨벳 - Psycho  00:00 <U+26AB>─────────ㅤ03:31ㅤ<U+21C6>ㅤㅤ◁◁ㅤㅤ<U+275A><U+275A>ㅤㅤ▷▷ㅤㅤ<U+21BB>"
"10",13,"갤매님 하루에 한번씩 올게영 ","부매 줭"
"11",14,"MBTI 갤러리에서 떡 돌리러 왔습니다.","반갑습니다. "
"12",16,"Infp랑","안맞지않냐? 나만그래?나 진짜 안맞아너네랑 안맞는 유형있으면 알려주"
"13",17,"출석도장 ","꾹"
"14",18,"esfp에게 사랑이란 뭐야?","         궁금해        "
"15",19,"출석도장","꾸욱"
"16",22,"출석도장","꾸욱"
"17",23,"신입 받아라","딴 유형 하나랑 번갈아나오긴 하는데 암튼 ㅇ.ㅇ<U+00A0>"
"18",24,"야 esfp","그만 귀여워라 설레니까"
"19",25,"안녕하세요","뉴비입니다 잘부탁드려요 "
"20",26,"출석도장","꾸욱"
"21",27,"isfj나 istj랑 연애해봄?","천생연분이라는데 궁금하네 "
"22",29,"출석도장","오늘은 내 생일<U+2763>+"
"23",31,"엣프피들아 너희 이상형이 어떻게되냐","보닌 성별이랑 이상형 댓남겨바"
"24",32,"출석도장","꾸욱"
"25",34,"출석도장","꾸욱"
"26",35,"이런거도있노","하위"
"27",37,"안녕",""
"28",38,"Esfp갤이 망할 수 밖에 없는이유.txt","정반대인 intj갤은 자기들 경험 나누고 분석하느라 벌써 개념글 2페이진데 esfp는 나가노느라 디씨질같은거안함. 할필요도없음"
"29",39,"1년만에 검사 해보니까 entp에서 esfp로 바꼈더라",""
"30",40,"헬로","esfp 게이 등장"
"31",41,"디씨에서 엣프피라고 하면 허언증 취급 받지않음? ㅋㅋㅋ","ㅋㅋㅋㅋㅋㅋㅋㅋ분명 억울한 엣프피 나말고 또 있지?"
"32",45,"[설문조사]카톡에 새 메시지로 떠있으면 하는 내용이 무엇입니까?","         아침에 눈 뜨자마자 본 핸드폰 알림창.누구에게, 어떤 내용을 받고 싶으싶니까?        "
"33",46,"나 esfp enfp 왔다갔다함","왤까 "
"34",47,"ESFP들은 어딜가면 많이 만날 수 있을까?","         MBTI가 유사과학인 건 알지만 잘 가장 편안한 관계가 되기 쉽다니까 한번<U+00A0>찾아나서 보고 싶음.<U+00A0>        "
